v_g,i_ds,r
15.72236,0.0006231428,481.4305805988611
15.53794,0.0006259032,479.30734337194633
15.62499,0.0006242758,480.55683081099727
15.57406,0.0006251508,479.88421353695776
15.52261,0.0006258155,479.3745121365642
15.4749,0.0006263797,478.9427243571272
15.42095,0.0006271857,478.32723226948576
15.37319,0.0006278684,477.80713283229414
15.32234,0.0006284348,477.37649156284783
15.13868,0.0006310482,475.3995019714817
15.22461,0.0006297474,476.3814824801182
15.17491,0.0006303642,475.9153517918689
15.11758,0.0006310451,475.4018373647145
14.93408,0.0006336772,473.4271644932152
15.02137,0.0006323547,474.41728510913254
14.83181,0.0006350552,472.39987956952405
14.91816,0.0006336722,473.43090007735856
14.86866,0.0006341651,473.0629295115735
14.81735,0.0006349121,472.50635166663227
14.76815,0.0006354879,472.07822525023687
14.58495,0.0006380825,470.1586393608977
14.66678,0.000636878,471.04783019667815
14.48262,0.0006394627,469.14386093199806
14.56647,0.0006381436,470.1136233286677
14.51824,0.0006386617,469.73225418089106
14.47,0.00063935,469.2265582231954
14.28479,0.0006420254,467.2712325711724
14.36801,0.0006406796,468.2527740855179
14.31839,0.0006412751,467.8179458394689
14.13315,0.0006438741,465.92959710601804
14.21874,0.000642428,466.97840069237327
14.0339,0.000645039,465.0881574602466
14.118,0.0006436168,466.1158627307429
14.06549,0.0006443147,465.61098171437027
13.88286,0.0006469064,463.745605237481
13.96873,0.0006454696,464.77789194099927
13.91893,0.0006460929,464.3295105084733
13.73435,0.0006487519,462.4263913523798
13.82164,0.000647135,463.58178741684503
13.63211,0.0006499529,461.57190774900766
13.71831,0.000648483,462.61814110778533
13.66841,0.0006491165,462.16665267328744
13.61658,0.0006497477,461.7176790314148
13.56863,0.0006502315,461.374141363499
13.38434,0.0006528151,459.5481936615743
13.46653,0.0006515087,460.46967599972186
13.41736,0.0006521228,460.03605455904926
13.23265,0.000654689,458.2328403257119
13.31937,0.0006532601,459.2351499808422
13.2686,0.0006537235,458.90961545668773
13.21836,0.0006542982,458.5065341766186
13.1682,0.0006550095,458.0086243023956
13.11462,0.000655643,457.566083981679
12.92957,0.0006581891,455.79606225627253
13.01436,0.0006567824,456.7722886605975
12.82731,0.0006592951,455.03144191425054
12.9153,0.0006579033,455.99406478125275
12.7284,0.0006605255,454.18382787644083
12.81574,0.0006589206,455.29006074479986
12.62942,0.0006615029,453.5127510400937
12.71202,0.0006601809,454.42090190734086
12.66135,0.0006607847,454.005669320128
12.61302,0.0006612606,453.6789277933692
12.42816,0.0006638101,451.9364800264413
12.51111,0.0006623912,452.9045675727576
12.32923,0.0006648718,451.21480562117387
12.41073,0.0006636234,452.0636252428711
12.36127,0.000664108,451.73375414842167
12.17794,0.0006666181,450.03278488837907
12.26288,0.0006652802,450.93781537463457
12.21288,0.0006657434,450.62406927353686
12.02925,0.0006682961,448.90281418670554
12.11099,0.0006669047,449.83938484764013
11.92704,0.0006693405,448.2023723351568
12.01059,0.0006679036,449.16661626019084
11.96268,0.0006685492,448.732868126983
11.91282,0.0006690714,448.38263898292473
11.729,0.0006715383,446.7355026511519
11.8119,0.0006701371,447.669588805037
11.62668,0.0006726115,446.0227040423781
11.71179,0.0006713492,446.86133535274934
11.66206,0.0006718857,446.50451706294683
11.47839,0.0006742388,444.9462119355931
11.56347,0.0006727955,445.9007231766562
11.37668,0.0006752691,444.2673298689367
11.46031,0.0006739152,445.15986581101
11.41023,0.0006745458,444.74370754365384
11.3625,0.0006748218,444.5618087619576
11.31138,0.0006754089,444.1753728741211
11.26301,0.0006758675,443.8739841758925
11.21438,0.0006764216,443.51037873420955
11.16027,0.0006770578,443.09363247864513
11.10967,0.0006775622,442.76377873500024
10.92142,0.0006800714,441.13015192228346
11.00764,0.0006786781,442.03577513404366
10.95722,0.0006792658,441.6533262825833
10.77301,0.0006817287,440.0577531795273
10.85849,0.0006802418,441.01964918945
10.80902,0.0006808256,440.6414799913517
10.75953,0.0006813436,440.3064767908585
10.70672,0.0006817902,440.0180583411143
10.52295,0.0006842403,438.44245946928294
10.60921,0.0006828386,439.3424741952197
10.42387,0.0006852203,437.81540039021024
10.51057,0.0006838372,438.70090717498255
10.46091,0.0006843842,438.3502716748867
10.40691,0.0006849083,438.0148408188366
10.35857,0.0006855219,437.6227805413656
10.17323,0.0006878303,436.1540920776534
10.25686,0.0006863888,437.07006874238044
10.20782,0.0006868977,436.74625784887616
10.15933,0.0006873894,436.4338466668238
9.971679,0.0006898904,434.8516807887166
10.05644,0.0006883919,435.7982713044706
